image,label,variation_0,variation_1,variation_2,variation_3,variation_4,variation_5,variation_6,variation_7,variation_8,variation_9
0.png,239,,,,,,,,,,
4.png,42,,,,,,,,,,
5.png,835,,,,,,,,,,
7.png,374,,,,,,,,,,
9.png,444,,,,,,,,,,
10.png,745,,,,,,,,,,
11.png,352,,,,,,,,,,
12.png,276,,,,,,,,,,
13.png,857,,,,,,,,,,
15.png,885,,,,,,,,,,
16.png,917,,,,,,,,,,
18.png,467,,,,,,,,,,
19.png,847,,,,,,,,,,
21.png,917,,,,,,,,,,
24.png,205,,,,,,,,,,
29.png,438,,,,,,,,,,
31.png,438,,,,,,,,,,
32.png,276,,,,,,,,,,
34.png,533,,,,,,,,,,
35.png,413,,,,,,,,,,
37.png,205,,,,,,,,,,
38.png,524,,,,,,,,,,
40.png,258,,,,,,,,,,
41.png,545,,,,,,,,,,
43.png,467,,,,,,,,,,
44.png,310,,,,,,,,,,
45.png,147,,,,,,,,,,
46.png,334,,,,,,,,,,
51.png,552,,,,,,,,,,
52.png,919,,,,,,,,,,
54.png,341,,,,,,,,,,
58.png,867,,,,,,,,,,
59.png,145,,,,,,,,,,
61.png,406,,,,,,,,,,
63.png,919,,,,,,,,,,
64.png,585,,,,,,,,,,
69.png,296,,,,,,,,,,
70.png,867,,,,,,,,,,
71.png,438,,,,,,,,,,
74.png,145,,,,,,,,,,
76.png,467,,,,,,,,,,
77.png,444,,,,,,,,,,
78.png,276,,,,,,,,,,
79.png,270,,,,,,,,,,
89.png,406,,,,,,,,,,
92.png,205,,,,,,,,,,
94.png,883,,,,,,,,,,
98.png,406,,,,,,,,,,
99.png,919,,,,,,,,,,
101.png,413,,,,,,,,,,
102.png,450,,,,,,,,,,
103.png,136,,,,,,,,,,
106.png,548,,,,,,,,,,
107.png,406,,,,,,,,,,
109.png,388,,,,,,,,,,
110.png,413,,,,,,,,,,
114.png,524,,,,,,,,,,
116.png,556,,,,,,,,,,
117.png,389,,,,,,,,,,
122.png,239,,,,,,,,,,
123.png,533,,,,,,,,,,
129.png,444,,,,,,,,,,
130.png,545,,,,,,,,,,
133.png,334,,,,,,,,,,
135.png,545,,,,,,,,,,
136.png,552,,,,,,,,,,
137.png,444,,,,,,,,,,
139.png,158,,,,,,,,,,
140.png,579,,,,,,,,,,
144.png,857,,,,,,,,,,
145.png,352,,,,,,,,,,
147.png,844,,,,,,,,,,
148.png,341,,,,,,,,,,
150.png,776,,,,,,,,,,
152.png,885,,,,,,,,,,
154.png,147,,,,,,,,,,
158.png,389,,,,,,,,,,
160.png,270,,,,,,,,,,
161.png,450,,,,,,,,,,
162.png,552,,,,,,,,,,
165.png,867,,,,,,,,,,
166.png,147,,,,,,,,,,
167.png,847,,,,,,,,,,
168.png,389,,,,,,,,,,
169.png,919,,,,,,,,,,
170.png,585,,,,,,,,,,
171.png,276,,,,,,,,,,
172.png,374,,,,,,,,,,
173.png,444,,,,,,,,,,
174.png,844,,,,,,,,,,
178.png,689,,,,,,,,,,
179.png,341,,,,,,,,,,
183.png,276,,,,,,,,,,
184.png,388,,,,,,,,,,
185.png,413,,,,,,,,,,
188.png,444,,,,,,,,,,
189.png,304,,,,,,,,,,
190.png,867,,,,,,,,,,
192.png,545,,,,,,,,,,
193.png,776,,,,,,,,,,
201.png,389,,,,,,,,,,
